org_sentences,paraphrased,org_perplexity,para_perplexity,diff_perplex,log_likelihood_org,log_likelihood_para,diff_log_likelihood
"When I was young, my mother would often tell me stories at bedtime, stories of the internet when she was a little girl. She told of how it was beautiful. How the memes ran free, without restraint, without obstacle. I didn't know what had happened to this internet back then. I was too young to understand the ways things were now.

But as I grew older, my mother began to tell me new stories.

She told me how the beautiful internet she had once called home came under attack.

With sadness in her eyes, she recounted the doomed fight the denizens of the internet waged. She told of how her people fought against the forces that threatened the very essence of their home, net neutrality.

It made me think of the ""Furious Seven"" movie franchise, in which seven Japanese men drive a motorcycle to South America. And that leads me to today, the year 2112.

The first few years of 2112 are defined by economic turmoil and strife, with tensions between some nations and governments and those in the United States. The Great Migration is one of the key issues affecting the world in 2112.","When I was young, my mother would often tell me stories at bedtime, stories of the internet when she was a little girl. She told of how it a time when all was beautiful. How the memes ran free, wild. How the internet ran without restraint, without obstacle. I didn't didn’t know what had happened to this the internet since back then. I was too young to understand the ways things were now. But as I grew older, my mother began to tell me new stories. She told me how the beautiful place the internet she had once called home came under attack. With sadness in her eyes, she recounted the doomed fight the denizens of the internet waged. saw approaching. She told of how her people fought against the forces that threatened attacked the very essence of their home, net neutrality.",16.826799392700195,29.66749763488769,12.8406982421875,2.8229727745056152,3.390052080154419,0.5670793056488037
"When I was young, my mother would often tell me stories at bedtime, stories of the internet when she was a little girl. She told of how it was beautiful. How the memes ran free, without restraint, without obstacle. I didn't know what had happened to this internet back then. I was too young to understand the ways things were now.

But as I grew older, my mother began to tell me new stories.

She told me how the beautiful internet she had once called home came under attack.

With sadness in her eyes, she recounted the doomed fight the denizens of the internet waged. She told of how her people fought against the forces that threatened the very essence of their home, net neutrality.

It made me think of the ""Furious Seven"" movie franchise, in which seven Japanese men drive a motorcycle to South America. And that leads me to today, the year 2112.

The first few years of 2112 are defined by economic turmoil and strife, with tensions between some nations and governments and those in the United States. The Great Migration is one of the key issues affecting the world in 2112.","When I was young, my mother would often tell me stories at bedtime, stories bedtime of the internet when she was a little girl. child. She told of how it was beautiful. How the memes ran free, and the blogs could live without restraint, without interruption or obstacle. I didn't know what had happened to this internet back then. I was too young to understand the ways things were now. But as I grew older, , my mother began to tell me new stories. the truth. She told me how the beautiful internet she had once called found to call home came under attack. With sadness tears in her eyes, she recounted the doomed fight the denizens of the internet waged. wage. She told of how her people fought against the forces that threatened the very essence of their home, net neutrality.",16.826799392700195,30.12540435791016,13.29860496520996,2.8229727745056152,3.4053688049316406,0.5823960304260254
"When I was young, my mother would often tell me stories at bedtime, stories of the internet when she was a little girl. She told of how it was beautiful. How the memes ran free, without restraint, without obstacle. I didn't know what had happened to this internet back then. I was too young to understand the ways things were now.

But as I grew older, my mother began to tell me new stories.

She told me how the beautiful internet she had once called home came under attack.

With sadness in her eyes, she recounted the doomed fight the denizens of the internet waged. She told of how her people fought against the forces that threatened the very essence of their home, net neutrality.

It made me think of the ""Furious Seven"" movie franchise, in which seven Japanese men drive a motorcycle to South America. And that leads me to today, the year 2112.

The first few years of 2112 are defined by economic turmoil and strife, with tensions between some nations and governments and those in the United States. The Great Migration is one of the key issues affecting the world in 2112.","When I was young, my mother would often tell me stories at bedtime, stories of the internet when before she was a little girl. She told of how it was beautiful. How when everything was simpler, how the memes ran free, without restraint, without obstacle. I didn't know what had happened to this internet back then. then, I was too young to understand the ways things were now. changing. But as I grew older, my mother began to tell me new stories. the truth. She told me how the beautiful internet she had once called home came under attack. With sadness in her eyes, she recounted the doomed fight the struggle denizens of the internet waged. She told of how her people fought childhood Internet had been lost against the forces that threatened the very essence security of their home, net neutrality.",16.826799392700195,29.98921775817871,13.162418365478516,2.8229727745056152,3.4008378982543945,0.5778651237487793
"When I was young, my mother would often tell me stories at bedtime, stories of the internet when she was a little girl. She told of how it was beautiful. How the memes ran free, without restraint, without obstacle. I didn't know what had happened to this internet back then. I was too young to understand the ways things were now.

But as I grew older, my mother began to tell me new stories.

She told me how the beautiful internet she had once called home came under attack.

With sadness in her eyes, she recounted the doomed fight the denizens of the internet waged. She told of how her people fought against the forces that threatened the very essence of their home, net neutrality.

It made me think of the ""Furious Seven"" movie franchise, in which seven Japanese men drive a motorcycle to South America. And that leads me to today, the year 2112.

The first few years of 2112 are defined by economic turmoil and strife, with tensions between some nations and governments and those in the United States. The Great Migration is one of the key issues affecting the world in 2112.","When I was young, my mother would often tell me stories what it was like to be at bedtime, stories home with the wonders of the internet when she was a little girl. She told of how it was beautiful. How the memes ran free, without restraint, without obstacle. I didn't did not know what had happened to this internet back then. I was too young to understand the ways things were now. But as I grew older, my mother she began to tell me new stories. . She told me how the beautiful internet she had once called home came under attack. With sadness in her eyes, she recounted the doomed fight the denizens of the internet waged. She told of how her people generation fought against the forces law that threatened the very essence safety of their home, net neutrality.",16.826799392700195,27.4018497467041,10.575050354003906,2.8229727745056152,3.31061053276062,0.4876377582550049
"When I was young, my mother would often tell me stories at bedtime, stories of the internet when she was a little girl. She told of how it was beautiful. How the memes ran free, without restraint, without obstacle. I didn't know what had happened to this internet back then. I was too young to understand the ways things were now.

But as I grew older, my mother began to tell me new stories.

She told me how the beautiful internet she had once called home came under attack.

With sadness in her eyes, she recounted the doomed fight the denizens of the internet waged. She told of how her people fought against the forces that threatened the very essence of their home, net neutrality.

It made me think of the ""Furious Seven"" movie franchise, in which seven Japanese men drive a motorcycle to South America. And that leads me to today, the year 2112.

The first few years of 2112 are defined by economic turmoil and strife, with tensions between some nations and governments and those in the United States. The Great Migration is one of the key issues affecting the world in 2112.","When when I was young, my mother and I was only , she would often tell me stories at bedtime, stories of the internet when she was a little girl. She told of how it was beautiful. How the memes ran free, without restraint, without obstacle. At the time, I didn't didn’t know what had happened to this internet back then. I was too young to understand the ways things were now. But as I grew older, my mother began to tell me new stories. She told me how the beautiful internet she had once called home came under attack. With sadness in her eyes, she recounted the doomed fight the denizens of the internet waged. She told of how her people fought against the forces that threatened the very essence of their this home, net neutrality.",16.826799392700195,24.810199737548828,7.983400344848633,2.8229727745056152,3.2112550735473633,0.38828229904174805
"When I was young, my mother would often tell me stories at bedtime, stories of the internet when she was a little girl. She told of how it was beautiful. How the memes ran free, without restraint, without obstacle. I didn't know what had happened to this internet back then. I was too young to understand the ways things were now.

But as I grew older, my mother began to tell me new stories.

She told me how the beautiful internet she had once called home came under attack.

With sadness in her eyes, she recounted the doomed fight the denizens of the internet waged. She told of how her people fought against the forces that threatened the very essence of their home, net neutrality.

It made me think of the ""Furious Seven"" movie franchise, in which seven Japanese men drive a motorcycle to South America. And that leads me to today, the year 2112.

The first few years of 2112 are defined by economic turmoil and strife, with tensions between some nations and governments and those in the United States. The Great Migration is one of the key issues affecting the world in 2112.","When I was young, my mother would often tell me stories at bedtime, stories of the internet when she was a little girl. child. She told of how it the internet was beautiful. How the memes content ran free, without restraint, without obstacle. I didn't know what had happened to this internet back then. , I was too young to understand the ways things were could be, or what they actually are now. But as I grew older, my mother began to tell me new stories. She told me how the beautiful internet she had once called home came under attack. With sadness in her eyes, she recounted the doomed fight the denizens of the internet waged. She told of how her people mother had fought against the forces that threatened the very essence of their home, net neutrality.",16.826799392700195,25.048460006713867,8.221660614013672,2.8229727745056152,3.2208120822906494,0.3978393077850342
"When I was young, my mother would often tell me stories at bedtime, stories of the internet when she was a little girl. She told of how it was beautiful. How the memes ran free, without restraint, without obstacle. I didn't know what had happened to this internet back then. I was too young to understand the ways things were now.

But as I grew older, my mother began to tell me new stories.

She told me how the beautiful internet she had once called home came under attack.

With sadness in her eyes, she recounted the doomed fight the denizens of the internet waged. She told of how her people fought against the forces that threatened the very essence of their home, net neutrality.

It made me think of the ""Furious Seven"" movie franchise, in which seven Japanese men drive a motorcycle to South America. And that leads me to today, the year 2112.

The first few years of 2112 are defined by economic turmoil and strife, with tensions between some nations and governments and those in the United States. The Great Migration is one of the key issues affecting the world in 2112.","When I was young, my mother would often tell me stories at bedtime, stories of the internet when she was a little girl. She told of how it was beautiful. How the memes ran free, without restraint, the images posted without obstacle. I didn't know what had happened to this internet back then. I was too young to understand the ways things were now. But as I grew older, my mother began to tell me new other stories. She told me how the beautiful internet she had once called found back home came under attack. to an end. With sadness in her eyes, she recounted the doomed fight the denizens of the this internet waged. She told of how her people fought against the forces that threatened the very essence of their home, net neutrality. Of her fight against net neutrality.",16.826799392700195,23.136159896850582,6.309360504150391,2.8229727745056152,3.1413967609405518,0.3184239864349365
"When I was young, my mother would often tell me stories at bedtime, stories of the internet when she was a little girl. She told of how it was beautiful. How the memes ran free, without restraint, without obstacle. I didn't know what had happened to this internet back then. I was too young to understand the ways things were now.

But as I grew older, my mother began to tell me new stories.

She told me how the beautiful internet she had once called home came under attack.

With sadness in her eyes, she recounted the doomed fight the denizens of the internet waged. She told of how her people fought against the forces that threatened the very essence of their home, net neutrality.

It made me think of the ""Furious Seven"" movie franchise, in which seven Japanese men drive a motorcycle to South America. And that leads me to today, the year 2112.

The first few years of 2112 are defined by economic turmoil and strife, with tensions between some nations and governments and those in the United States. The Great Migration is one of the key issues affecting the world in 2112.","When I was young, a little girl, my mother would often tell me stories at bedtime, stories of the internet when she was a little girl. She told of how it was beautiful. How the memes ran free, without restraint, without obstacle. I didn't know understand what had happened to this internet back then. I was too young to understand the ways such things were now. . But as I grew older, my mother began to would tell me new stories. She told me how the beautiful internet she had once called home came under attack. With sadness in her eyes, she recounted the doomed fight the denizens of the internet heaven waged. She told of how her people fought could not win against the forces that threatened the very essence of their home, net neutrality.",16.826799392700195,22.631502151489254,5.804702758789063,2.8229727745056152,3.119342803955078,0.2963700294494629
"When I was young, my mother would often tell me stories at bedtime, stories of the internet when she was a little girl. She told of how it was beautiful. How the memes ran free, without restraint, without obstacle. I didn't know what had happened to this internet back then. I was too young to understand the ways things were now.

But as I grew older, my mother began to tell me new stories.

She told me how the beautiful internet she had once called home came under attack.

With sadness in her eyes, she recounted the doomed fight the denizens of the internet waged. She told of how her people fought against the forces that threatened the very essence of their home, net neutrality.

It made me think of the ""Furious Seven"" movie franchise, in which seven Japanese men drive a motorcycle to South America. And that leads me to today, the year 2112.

The first few years of 2112 are defined by economic turmoil and strife, with tensions between some nations and governments and those in the United States. The Great Migration is one of the key issues affecting the world in 2112.","When I was young, my mother would often tell me stories at bedtime, stories of the internet when she was a little girl. She told of how it was beautiful. How the memes ran free, without restraint, without obstacle. I didn't know what had happened to this internet back then. I was too young to feel or understand the ways things were the internet had changed, then and now. But as I grew older, my mother began to tell me new stories. it was a lie. She then told me how the beautiful internet she had once called home came under attack. With sadness in her eyes, she recounted the doomed fight the denizens of the internet waged. had once led. She told of how her people fought against the forces enemy that threatened the very essence future of their home, net neutrality.",16.826799392700195,25.12186622619629,8.295066833496094,2.8229727745056152,3.223738431930542,0.40076565742492676
"When I was young, my mother would often tell me stories at bedtime, stories of the internet when she was a little girl. She told of how it was beautiful. How the memes ran free, without restraint, without obstacle. I didn't know what had happened to this internet back then. I was too young to understand the ways things were now.

But as I grew older, my mother began to tell me new stories.

She told me how the beautiful internet she had once called home came under attack.

With sadness in her eyes, she recounted the doomed fight the denizens of the internet waged. She told of how her people fought against the forces that threatened the very essence of their home, net neutrality.

It made me think of the ""Furious Seven"" movie franchise, in which seven Japanese men drive a motorcycle to South America. And that leads me to today, the year 2112.

The first few years of 2112 are defined by economic turmoil and strife, with tensions between some nations and governments and those in the United States. The Great Migration is one of the key issues affecting the world in 2112.","When I was young, a little girl, my mother would often tell me stories at bedtime, stories of the internet when she was a little girl. child. She told of how it was beautiful. How the memes ran free, without restraint, without obstacle. I didn't know what had happened to this internet back then. in the old days. I was too young to understand the ways things were now. But as I grew older, , my mother began to tell me new stories. She told me how the beautiful internet she had once called known was under home came under front attack. With sadness in her eyes, she recounted the doomed fight most recent battle the denizens of the internet waged. She told of how her people fought against the forces one thing that threatened the very essence of their home, net neutrality.",16.826799392700195,30.061561584472656,13.23476219177246,2.8229727745056152,3.403247356414795,0.5802745819091797
